Date,Maize Mar,Maize May,Maize Jul,Maize Sep,diff,Prime,Oats Mar,Oats May,Oats Jul,Oats Sep,Soybeans Mar,Soybeans May,Soybeans Jul,Soybeans Sep,Wheat Mar,Wheat May,Wheat Jul,Wheat Sep
2018-01-19,394.75,400.25,404.75,401.75,1,4.5,259.0,259.0,259.0,260.25,1006.75,1010.75,1016.0,1003.75,496.5,505.0,506.5,515.25
2018-01-22,394.75,400.0,404.5,401.75,3,4.5,265.25,265.25,265.25,266.5,1011.25,1015.0,1020.0,1007.75,500.25,508.25,509.75,518.25
2018-01-23,394.0,399.5,404.25,401.25,1,4.5,264.0,264.0,264.0,265.25,1012.0,1015.75,1021.5,1009.5,496.25,504.75,506.75,515.5
2018-01-24,397.75,403.0,407.75,404.5,1,4.5,262.5,262.5,262.5,263.75,1016.25,1019.75,1025.25,1011.25,506.0,512.75,513.75,522.25
2018-01-25,397.25,402.5,407.0,403.75,1,4.5,258.0,258.0,258.0,259.25,1015.75,1019.5,1025.25,1011.5,507.0,514.25,515.5,523.75
2018-01-26,398.5,403.75,408.0,404.5,1,4.5,260.0,260.0,260.0,261.25,1012.75,1016.75,1022.5,1008.75,513.0,520.0,521.25,529.25
2018-01-29,400.0,405.0,409.25,406.0,3,4.5,263.0,263.0,263.0,264.25,1016.25,1020.0,1025.75,1011.75,521.5,527.5,528.75,537.5
2018-01-30,401.75,406.75,411.0,407.25,1,4.5,267.25,267.25,267.25,268.5,1020.75,1024.25,1029.75,1013.75,531.25,536.5,536.5,545.0
2018-01-31,401.25,406.5,410.75,407.5,1,4.5,268.0,268.0,268.0,269.25,1017.25,1020.5,1025.75,1010.0,525.0,530.0,531.25,540.0
2018-02-01,401.5,406.75,411.25,407.75,1,4.5,268.25,268.25,268.25,269.5,1010.75,1014.0,1019.75,1004.0,525.0,530.0,530.75,540.5
2018-02-02,400.5,405.75,410.25,406.75,1,4.5,268.5,268.5,268.5,269.75,1005.0,1007.75,1013.0,999.0,520.75,527.0,527.75,537.0
2018-02-05,397.25,402.5,407.0,404.0,3,4.5,270.25,270.25,270.25,271.5,998.25,1001.5,1006.75,992.75,514.75,522.25,524.25,533.5
2018-02-06,401.25,406.25,410.75,407.25,1,4.5,271.0,271.0,271.0,272.25,1011.25,1014.25,1019.0,1004.75,521.0,528.5,529.25,538.0
2018-02-07,402.25,407.0,411.5,407.75,1,4.5,268.75,268.75,268.75,270.0,1007.0,1010.0,1015.25,1001.25,532.75,538.75,538.5,548.5
2018-02-08,402.25,407.0,411.5,407.75,1,4.5,262.75,262.75,262.75,264.0,1009.75,1013.0,1018.25,1002.5,531.5,537.0,536.75,546.0
2018-02-09,400.0,404.75,409.25,406.0,1,4.5,264.0,264.0,264.0,265.25,1006.0,1009.0,1014.75,998.75,524.75,530.0,529.5,538.0
2018-02-12,404.25,409.0,413.25,409.75,3,4.5,267.25,267.25,267.25,268.5,1016.75,1017.75,1022.5,1006.5,538.75,544.5,545.0,552.75
2018-02-13,403.75,408.5,412.75,409.0,1,4.5,267.5,267.5,267.5,268.75,1020.5,1021.0,1025.75,1009.0,537.0,542.5,541.75,549.0
2018-02-14,404.0,408.75,413.25,409.25,1,4.5,262.25,262.25,262.25,263.5,1016.75,1016.5,1021.25,1004.25,535.25,539.5,539.5,546.75
2018-02-15,405.25,409.75,414.0,409.75,1,4.5,267.0,267.0,272.0,273.25,1022.0,1022.0,1026.25,1008.5,541.0,545.25,544.0,550.25
2018-02-16,404.75,409.75,414.25,409.75,1,4.5,268.0,268.0,273.0,274.25,1020.5,1021.0,1026.0,1008.5,538.5,543.0,542.5,548.75
2018-02-20,404.0,408.75,413.0,408.25,4,4.5,262.5,262.5,267.5,268.75,1025.0,1025.5,1030.0,1011.75,533.0,537.75,537.0,543.25
2018-02-21,404.25,408.75,413.0,408.0,1,4.5,255.0,255.0,260.0,261.25,1028.0,1028.25,1032.0,1014.0,528.25,533.0,532.0,538.25
2018-02-22,405.0,409.5,413.75,408.5,1,4.5,258.25,258.25,263.25,264.5,1026.75,1025.75,1030.75,1012.5,531.75,536.75,536.0,542.25
2018-02-23,404.75,409.5,413.75,408.5,1,4.5,257.25,257.25,262.25,263.5,1029.0,1029.0,1032.5,1014.0,533.0,538.25,537.25,543.75
2018-02-26,406.5,410.75,414.75,409.5,3,4.5,257.75,257.75,262.75,264.0,1029.5,1029.25,1032.75,1014.0,541.75,546.75,544.75,550.5
2018-02-27,407.5,411.75,416.0,410.75,1,4.5,264.5,264.5,269.5,270.75,1029.75,1028.75,1032.25,1011.25,544.0,548.5,545.0,550.5
2018-02-28,408.75,413.5,417.75,410.5,1,4.5,266.0,266.0,271.0,272.25,1030.25,1028.75,1032.5,1012.0,554.5,557.25,553.75,558.25
2018-03-01,411.75,416.0,420.25,412.25,1,4.5,267.0,267.0,272.0,273.25,1037.0,1036.25,1039.25,1014.75,572.5,575.25,573.5,577.75
2018-03-02,411.25,415.75,419.75,411.5,1,4.5,263.5,263.5,268.5,269.75,1037.25,1036.5,1038.75,1013.25,560.75,565.0,566.0,571.25
2018-03-05,413.0,417.75,421.5,412.25,3,4.5,268.5,270.5,275.5,276.75,1042.25,1041.0,1042.75,1016.75,570.0,574.75,575.25,581.0
2018-03-06,413.5,418.25,422.0,413.0,1,4.5,268.75,271.75,276.75,278.0,1045.75,1044.75,1046.0,1022.0,569.25,574.5,575.25,580.75
2018-03-07,413.5,418.0,422.25,413.0,1,4.5,268.5,271.75,276.75,278.0,1045.75,1044.25,1045.5,1021.75,562.5,567.25,570.75,576.25
2018-03-08,416.75,421.25,425.25,414.75,1,4.5,268.75,272.25,277.25,278.5,1045.75,1044.75,1046.0,1022.25,565.75,571.25,574.5,579.75
2018-03-09,413.75,418.5,423.0,414.75,1,4.5,266.5,270.25,275.25,276.5,1030.5,1029.5,1032.0,1008.25,556.25,562.75,567.5,573.25
2018-03-12,414.25,418.75,423.0,413.75,3,4.5,268.25,271.5,276.5,277.75,1037.25,1036.25,1038.75,1015.0,558.25,565.0,568.0,574.5
2018-03-13,416.0,420.5,424.75,414.75,1,4.5,269.75,273.25,278.25,279.5,1044.5,1042.5,1045.25,1021.25,555.75,563.0,567.5,573.75
2018-03-14,414.25,418.75,423.25,412.5,1,4.5,263.5,267.0,272.0,273.25,1029.5,1028.0,1030.5,1006.75,559.0,566.75,570.0,576.0
2018-03-15,413.0,417.0,421.25,410.5,1,4.5,260.0,263.75,268.75,270.0,1032.5,1031.0,1033.75,1010.25,549.25,557.25,560.5,566.75
2018-03-16,410.5,414.75,419.0,408.0,1,4.5,257.0,260.75,265.75,267.0,1040.0,1038.25,1039.75,1015.75,539.75,548.0,550.75,558.5
2018-03-19,404.75,409.25,413.25,402.5,3,4.5,254.75,258.5,263.5,264.75,1024.0,1023.5,1026.75,1004.75,523.5,532.25,535.25,543.5
2018-03-20,404.25,408.75,413.0,402.5,1,4.5,257.75,261.5,266.5,267.75,1027.0,1026.75,1029.75,1008.0,523.5,532.5,536.0,543.75
2018-03-21,403.75,408.25,412.5,402.5,1,4.5,258.5,262.25,267.25,268.5,1027.5,1027.5,1030.0,1008.25,524.5,533.25,538.25,546.25
2018-03-22,405.25,410.0,414.0,403.75,1,4.75,257.0,260.75,265.75,267.0,1028.25,1028.25,1030.75,1009.0,526.5,535.25,541.0,549.0
2018-03-23,406.5,411.5,416.0,404.75,1,4.75,257.5,261.25,266.25,267.5,1028.25,1028.75,1031.25,1009.0,530.75,539.5,545.5,554.25
2018-03-26,404.0,409.25,413.5,403.0,3,4.75,258.0,261.75,266.75,268.0,1026.75,1027.25,1030.0,1007.5,525.75,534.75,541.25,549.75
2018-03-27,404.25,409.0,413.25,402.5,1,4.75,258.0,261.75,266.75,268.0,1021.5,1021.75,1025.0,1002.75,521.25,530.0,536.0,544.5
2018-03-28,404.5,409.25,413.0,401.5,1,4.75,256.0,259.75,264.75,266.0,1017.5,1017.75,1021.0,998.75,517.0,525.75,532.0,540.75
2018-03-29,418.25,422.25,425.5,409.0,1,4.75,256.75,260.5,265.5,266.75,1045.75,1044.5,1045.5,1023.25,522.25,531.0,535.25,543.75
2018-04-03,419.0,423.25,427.0,413.0,5,4.75,258.25,262.0,267.0,268.25,1042.25,1039.0,1039.25,1014.5,528.25,537.5,541.25,548.75
2018-04-04,412.25,416.5,420.5,406.75,1,4.75,256.75,260.5,265.5,266.75,1020.75,1020.25,1023.5,999.75,529.0,538.25,542.0,549.0
2018-04-05,420.5,425.0,429.25,414.75,1,4.75,260.5,264.25,269.25,270.5,1031.5,1030.25,1033.75,1011.25,537.25,546.5,550.25,557.75
2018-04-06,420.0,424.5,429.25,415.0,1,4.75,259.75,263.5,268.5,269.75,1028.75,1027.0,1030.25,1008.75,546.25,554.5,558.0,565.0
2018-04-09,422.0,426.25,430.25,415.25,3,4.75,262.5,266.25,271.25,272.5,1036.5,1033.5,1035.25,1013.25,562.0,570.75,572.25,579.25
2018-04-10,421.5,426.0,430.0,414.5,1,4.75,263.0,266.75,271.75,273.0,1042.5,1038.5,1040.75,1018.25,565.75,574.25,574.5,581.0
2018-04-11,419.75,424.25,428.25,413.25,1,4.75,266.75,270.5,275.5,276.75,1038.75,1034.0,1037.0,1014.25,563.5,571.75,571.75,579.0
2018-04-12,421.25,425.25,429.5,413.75,1,4.75,266.75,270.5,275.5,276.75,1041.0,1034.5,1036.0,1014.25,557.75,566.25,566.25,573.0
2018-04-13,418.25,422.5,426.5,411.5,1,4.75,264.5,268.25,273.25,274.5,1037.25,1031.25,1034.0,1011.75,549.0,557.25,558.5,566.75
2018-04-16,415.0,419.25,423.0,408.0,3,4.75,263.0,266.75,271.75,273.0,1030.25,1026.25,1029.75,1008.0,538.5,547.5,550.25,558.5
2018-04-17,413.75,418.25,422.0,407.75,1,4.75,261.25,265.0,270.0,271.25,1036.75,1032.25,1036.25,1014.5,541.0,550.25,552.5,560.5
2018-04-18,416.0,420.25,424.25,408.75,1,4.75,263.25,267.0,272.0,273.25,1040.0,1036.75,1040.75,1018.75,549.0,558.5,560.0,567.75
2018-04-19,415.5,419.75,423.25,409.75,1,4.75,262.25,266.0,271.0,272.25,1038.0,1036.0,1040.75,1019.25,550.75,559.75,561.25,569.0
2018-04-20,410.25,414.5,418.5,406.0,1,4.75,259.75,263.5,268.5,269.75,1029.0,1027.5,1032.5,1012.25,538.75,547.5,549.0,557.25
2018-04-23,412.0,416.0,419.75,407.0,3,4.75,251.75,255.5,260.5,261.75,1025.25,1024.25,1028.5,1008.75,536.75,545.0,546.5,555.0
2018-04-24,414.25,418.5,422.25,408.75,1,4.75,249.75,253.5,258.5,259.75,1022.5,1020.25,1024.75,1003.25,544.0,552.25,555.25,562.25
2018-04-25,420.0,424.0,428.25,412.0,1,4.75,250.75,254.25,259.25,260.5,1022.75,1020.0,1024.0,1002.75,556.25,564.75,568.25,575.5
2018-04-26,419.25,423.25,427.5,411.5,1,4.75,249.5,253.25,258.25,259.5,1021.25,1018.5,1022.25,1001.75,547.25,555.75,559.0,567.0
2018-04-27,422.0,426.25,430.25,413.5,1,4.75,252.25,255.75,260.75,262.0,1032.25,1028.25,1032.0,1011.5,555.0,563.25,567.0,574.75
2018-04-30,423.5,427.75,431.75,414.75,3,4.75,256.75,260.25,265.25,266.5,1032.5,1027.75,1031.75,1011.75,563.25,570.0,572.0,578.25
2018-05-02,427.5,432.0,435.75,417.0,2,4.75,257.25,261.0,266.0,267.25,1030.0,1027.75,1033.25,1012.25,578.75,586.0,589.0,594.75
2018-05-03,430.0,434.25,438.0,418.0,1,4.75,256.75,260.5,265.5,266.75,1037.0,1032.75,1038.0,1017.5,588.25,595.5,596.75,600.5
2018-05-04,428.5,433.0,437.0,417.25,1,4.75,257.25,260.75,265.75,267.0,1027.75,1026.25,1031.75,1011.25,579.25,587.0,588.25,593.25
2018-05-07,425.0,429.75,433.75,413.75,3,4.75,256.75,260.25,265.25,266.5,1012.75,1012.75,1019.0,1000.0,569.25,578.0,579.75,585.0
2018-05-08,428.25,433.25,437.0,415.25,1,4.75,258.0,261.25,266.25,267.5,1017.5,1017.5,1024.5,1004.75,571.5,580.5,582.5,587.5
2018-05-09,428.0,433.0,437.25,415.0,1,4.75,259.25,262.5,267.5,268.75,1013.75,1013.0,1019.25,999.5,567.75,577.0,579.25,584.75
2018-05-10,428.0,432.75,436.5,414.75,1,4.75,260.75,264.0,269.0,270.25,1021.0,1020.5,1026.25,1006.5,562.5,572.0,574.75,580.0
2018-05-11,423.25,428.0,432.0,412.0,1,4.75,255.5,259.0,264.0,265.25,1008.75,1009.5,1016.0,996.0,555.5,565.25,569.0,575.5
2018-05-14,423.0,428.0,432.0,411.0,3,4.75,259.75,263.0,268.0,269.25,1013.0,1011.75,1017.75,997.25,548.5,559.0,563.0,569.75
2018-05-15,427.25,431.75,435.5,411.75,1,4.75,261.0,264.25,269.25,270.5,1013.5,1012.0,1017.5,997.25,549.25,559.0,562.5,568.0
2018-05-16,425.5,430.25,434.5,412.0,1,4.75,262.0,265.25,270.25,271.5,1001.5,1000.75,1006.5,987.75,549.75,559.25,563.0,568.0
2018-05-17,421.75,426.75,431.0,409.0,1,4.75,261.0,264.25,269.25,270.5,997.5,996.5,1002.25,984.0,552.75,562.75,567.0,572.25
2018-05-18,428.25,432.75,437.25,413.25,1,4.75,261.5,264.5,269.5,270.75,997.75,994.25,999.75,979.0,572.5,581.75,585.5,589.75
2018-05-21,429.25,433.75,438.0,414.5,3,4.75,263.5,266.5,271.5,272.75,1021.25,1017.5,1022.5,999.5,565.5,575.25,579.75,584.75
2018-05-22,431.25,435.5,439.25,415.5,1,4.75,264.5,267.5,272.5,273.75,1027.25,1023.5,1027.75,1004.0,578.0,588.0,591.25,595.75
2018-05-23,434.25,438.5,442.25,417.75,1,4.75,264.5,267.5,272.5,273.75,1035.75,1031.5,1035.75,1012.0,585.5,594.75,597.5,601.5
2018-05-24,430.75,435.25,439.25,416.5,1,4.75,258.25,261.5,266.5,267.75,1034.5,1030.75,1035.5,1010.5,583.25,591.75,593.5,597.5
2018-05-25,433.5,437.75,442.0,419.5,1,4.75,261.75,264.75,269.75,271.0,1039.25,1035.25,1038.75,1012.75,594.5,602.25,603.25,606.5
2018-05-29,427.5,432.0,436.0,415.0,4,4.75,255.75,259.0,264.0,265.25,1028.75,1024.75,1028.25,1003.5,588.5,596.0,596.5,600.0
2018-05-30,421.75,426.75,431.0,411.5,1,4.75,253.0,256.25,261.25,262.5,1029.0,1027.5,1031.25,1007.5,575.25,584.0,586.25,591.5
2018-05-31,422.5,427.5,431.75,413.25,1,4.75,254.25,257.25,262.25,263.5,1029.75,1028.5,1032.5,1009.0,580.25,589.5,592.25,597.0
2018-06-01,420.25,425.75,430.5,412.0,1,4.75,254.0,257.0,262.0,263.25,1032.25,1031.75,1035.25,1013.0,579.75,590.0,593.0,598.5
2018-06-04,410.25,416.25,421.25,406.25,3,4.75,250.0,253.0,258.0,259.25,1016.25,1017.0,1022.25,1001.5,563.75,575.5,580.0,587.0
2018-06-05,412.75,418.75,423.5,407.5,1,4.75,252.25,255.0,260.0,261.25,1019.0,1020.0,1025.25,1005.75,568.75,580.5,584.5,591.5
2018-06-06,408.75,415.0,420.5,407.5,1,4.75,247.75,250.75,255.75,257.0,1013.75,1016.25,1022.25,1003.5,577.0,588.25,591.5,597.5
2018-06-07,406.0,412.25,417.75,405.25,1,4.75,249.0,251.75,256.75,258.0,1000.5,1005.25,1011.5,994.0,583.5,594.25,596.25,602.0
2018-06-08,407.0,413.0,418.5,406.75,1,4.75,250.5,253.0,258.0,259.25,995.25,999.5,1005.5,987.0,577.5,588.25,590.75,597.0
2018-06-11,397.75,404.0,409.75,399.75,3,4.75,250.5,253.0,258.0,259.25,980.5,985.5,991.75,976.0,572.25,583.0,586.25,592.25
2018-06-12,407.5,413.5,419.25,407.5,1,4.75,254.0,256.5,261.5,262.75,983.5,989.25,995.75,979.0,590.75,601.25,604.0,610.0
2018-06-13,406.25,412.25,418.0,407.25,1,4.75,248.75,251.5,256.5,257.75,968.5,974.75,981.25,967.0,575.0,586.25,590.0,596.75
2018-06-14,394.0,400.5,406.25,398.5,1,5.0,244.25,247.0,252.0,253.25,960.75,967.0,973.0,958.75,560.0,571.75,576.75,584.25
2018-06-15,392.5,399.0,405.25,399.0,1,5.0,244.75,247.25,252.25,253.5,943.25,950.75,958.0,943.25,553.75,565.0,569.5,576.75
2018-06-18,387.0,393.75,400.0,395.25,3,5.0,241.5,244.25,249.25,250.5,943.25,950.25,957.25,944.0,539.75,552.5,558.5,566.0
2018-06-19,385.0,391.5,398.0,395.25,1,5.0,245.25,247.75,252.75,254.0,924.0,932.0,939.5,930.75,527.75,540.0,545.75,554.5
2018-06-20,385.25,392.0,398.0,397.0,1,5.0,244.25,247.0,252.0,253.25,924.0,932.0,939.75,931.75,534.0,545.5,550.25,558.75
2018-06-21,387.75,394.25,400.25,397.5,1,5.0,243.75,246.25,251.25,252.5,915.0,923.5,931.25,923.5,539.5,551.0,555.25,563.25
2018-06-22,387.5,394.5,400.25,397.0,1,5.0,242.25,244.75,249.75,251.0,928.0,935.75,944.0,933.5,538.5,550.25,554.75,563.0
2018-06-25,381.5,388.0,394.5,391.75,3,5.0,240.25,242.75,247.75,249.0,909.0,917.5,926.0,916.0,526.25,538.0,543.25,552.75
2018-06-26,382.75,389.5,396.0,393.25,1,5.0,243.0,245.25,250.25,251.5,901.0,909.25,918.25,909.75,517.75,529.75,535.5,545.0
2018-06-27,382.75,389.5,395.75,391.25,1,5.0,248.75,251.0,256.0,257.25,903.25,911.5,919.5,911.0,519.25,530.75,536.25,545.0
2018-06-28,375.75,382.25,389.0,385.0,1,5.0,241.5,243.75,248.75,250.0,897.5,905.75,914.0,906.5,515.25,527.0,532.0,540.75
2018-06-29,381.25,388.0,394.25,389.5,1,5.0,249.25,251.25,256.25,257.5,894.0,902.0,910.25,903.5,532.25,543.75,548.5,556.5
2018-07-02,369.5,376.5,383.0,382.0,3,5.0,244.25,246.75,251.75,253.0,885.0,893.5,902.0,896.75,512.5,524.5,529.5,538.5
2018-07-03,374.5,381.25,387.75,386.5,1,5.0,244.25,246.75,251.75,253.0,880.5,889.5,898.25,894.25,521.5,532.0,537.0,545.5
2018-07-05,375.0,381.75,388.25,387.5,2,5.0,249.0,250.75,255.75,257.0,872.0,881.0,890.25,886.25,533.25,542.5,546.25,554.5
2018-07-06,383.25,390.0,396.5,394.25,1,5.0,247.25,249.0,254.0,255.25,911.0,919.75,928.25,920.0,543.75,553.0,557.5,566.0
2018-07-09,378.0,384.75,391.0,389.25,3,5.0,245.5,247.25,252.25,253.5,889.5,898.5,907.25,901.75,540.5,550.5,555.0,563.25
2018-07-10,372.25,379.25,385.75,385.75,1,5.0,243.5,245.25,250.25,251.5,890.25,899.25,908.25,903.0,527.25,538.25,543.25,552.0
2018-07-11,365.0,372.0,378.0,380.25,1,5.0,244.0,244.25,249.25,250.5,867.25,876.25,885.25,881.0,509.25,521.75,527.75,537.5
2018-07-12,371.0,377.75,383.5,386.0,1,5.0,245.25,247.0,252.0,253.25,867.75,876.75,885.75,882.0,518.25,530.0,535.0,544.25
2018-07-13,366.5,373.25,379.25,382.25,1,5.0,245.5,247.25,252.25,253.5,853.5,862.75,871.75,870.25,527.5,538.5,542.75,551.75
2018-07-16,367.25,374.25,380.75,383.75,3,5.0,241.0,242.75,247.75,249.0,865.5,875.25,884.0,881.5,519.0,529.75,535.25,544.5
2018-07-17,371.75,378.25,384.5,387.25,1,5.0,240.5,242.25,247.25,248.5,874.75,884.0,892.25,888.0,526.0,535.5,539.75,549.0
2018-07-18,372.75,379.25,385.25,387.75,1,5.0,245.25,247.0,252.0,253.25,877.25,886.5,895.0,891.0,526.25,536.25,541.25,550.5
2018-07-19,376.5,382.75,388.75,390.5,1,5.0,241.0,242.75,247.75,249.0,880.75,890.0,898.5,894.25,536.0,545.75,549.75,558.5
2018-07-20,380.0,386.25,392.0,393.5,1,5.0,242.75,244.5,249.5,250.75,883.75,893.0,901.0,897.25,548.75,557.5,560.5,568.5
2018-07-23,382.5,389.0,395.0,395.75,3,5.0,242.25,244.0,249.0,250.25,882.0,891.25,899.5,896.25,549.5,557.75,561.25,569.75
2018-07-24,377.25,383.75,389.75,391.25,1,5.0,241.5,243.25,248.25,249.5,893.0,902.25,910.25,906.25,546.5,555.25,558.75,567.0
2018-07-25,384.25,390.25,396.0,397.25,1,5.0,243.5,245.25,250.25,251.5,895.75,904.75,912.75,910.0,576.75,583.5,584.25,590.25
2018-07-26,386.25,392.0,397.25,397.75,1,5.0,243.5,245.25,249.0,253.25,895.5,904.5,912.5,908.5,572.0,577.75,576.5,582.75
2018-07-27,386.75,392.5,397.75,398.75,1,5.0,243.75,245.5,249.25,253.25,904.5,913.25,921.75,917.25,566.0,572.25,573.5,580.25
2018-07-30,391.75,397.25,402.0,402.5,3,5.0,247.25,249.0,252.5,255.0,910.75,920.0,928.25,923.0,581.75,587.5,587.5,593.75
2018-07-31,397.0,402.25,406.75,406.25,1,5.0,250.0,252.75,256.0,258.25,938.5,947.25,954.25,947.0,587.75,592.75,592.25,599.25
2018-08-01,390.25,396.0,401.0,401.5,1,5.0,252.25,255.0,258.25,262.75,921.75,930.5,938.25,933.5,594.0,598.5,596.75,603.25
2018-08-02,392.25,398.0,403.75,405.0,1,5.0,254.25,256.75,260.0,264.5,918.0,927.5,935.75,931.75,600.0,606.0,597.5,603.75
2018-08-03,395.5,401.5,407.0,407.75,1,5.0,260.25,262.5,265.5,270.0,923.25,932.75,941.25,935.75,599.25,605.25,597.75,604.25
2018-08-06,396.5,402.75,408.5,409.0,3,5.0,273.5,275.75,278.75,283.25,914.25,924.0,932.5,928.75,615.0,619.0,610.75,616.75
2018-08-07,395.5,402.0,407.75,408.5,1,5.0,268.25,270.75,274.0,278.5,926.25,936.25,944.5,940.25,609.25,615.0,605.25,611.25
2018-08-08,396.0,402.5,408.0,408.5,1,5.0,277.75,280.0,283.0,287.5,931.25,941.25,949.5,945.75,611.5,619.75,609.25,615.25
2018-08-09,394.0,400.75,406.25,406.75,1,5.0,275.75,278.0,281.0,285.25,925.0,935.25,943.25,939.75,607.0,614.75,604.25,610.0
2018-08-10,383.25,390.25,396.0,397.25,1,5.0,270.75,273.0,276.0,280.25,885.0,896.5,906.0,905.5,591.0,598.75,590.75,597.75
2018-08-13,382.0,388.75,394.5,395.5,3,5.0,271.0,273.25,275.5,279.5,891.5,903.0,912.5,910.75,575.5,585.25,581.25,588.25
2018-08-14,388.0,394.75,400.5,400.75,1,5.0,272.0,273.5,275.5,279.5,902.0,912.5,921.25,918.5,582.75,592.25,587.5,594.0
2018-08-15,387.75,394.75,400.5,400.5,1,5.0,266.5,269.0,271.25,275.25,892.5,904.0,913.5,912.25,574.25,584.25,578.75,585.25
2018-08-16,391.5,398.5,404.25,403.25,1,5.0,268.75,271.0,273.0,276.75,919.75,930.5,939.75,936.25,584.75,596.0,588.5,595.5
2018-08-17,390.75,397.75,403.5,401.75,1,5.0,272.25,274.5,276.5,280.25,915.5,926.0,934.75,931.25,601.5,611.0,596.75,603.0
2018-08-20,388.5,395.5,401.5,400.0,3,5.0,273.0,275.25,277.25,281.0,916.5,927.25,935.75,932.0,585.25,595.5,585.75,592.5
2018-08-21,386.25,393.25,399.0,397.5,1,5.0,268.25,271.5,274.0,277.75,910.25,921.0,929.75,927.25,571.25,581.75,575.0,581.75
2018-08-22,379.0,386.25,391.75,392.0,1,5.0,269.25,272.25,274.5,278.25,895.5,906.5,915.5,914.75,568.5,579.75,573.25,580.25
2018-08-23,373.25,380.75,386.5,387.5,1,5.0,270.75,273.75,275.75,279.5,880.0,891.25,900.5,899.25,564.5,576.25,570.75,577.75
2018-08-24,375.0,382.25,387.75,388.75,1,5.0,268.5,271.75,274.25,278.0,881.25,892.5,901.75,901.0,559.5,571.5,566.25,573.5
2018-08-27,374.0,381.5,387.25,388.0,3,5.0,259.75,263.0,265.75,269.5,875.0,886.5,896.25,897.5,546.25,558.75,554.5,562.25
2018-08-28,369.0,376.5,382.25,384.0,1,5.0,257.0,260.0,262.75,266.5,860.0,872.0,882.25,887.0,545.75,558.5,554.25,561.25
2018-08-29,369.5,377.25,383.0,385.0,1,5.0,257.5,260.5,263.25,267.0,862.75,874.75,884.75,889.25,562.5,574.75,567.75,574.25
2018-08-30,369.25,377.0,383.0,384.75,1,5.0,252.0,255.25,258.25,262.0,858.25,870.5,881.0,884.25,555.5,567.75,561.75,569.0
2018-08-31,377.25,384.75,390.5,391.0,1,5.0,257.0,260.0,262.75,266.5,869.5,881.5,891.0,895.0,565.5,577.75,570.25,577.25
2018-09-04,379.75,387.0,392.75,393.25,4,5.0,251.25,254.5,257.5,261.25,869.75,881.0,890.5,894.75,551.5,565.5,562.0,570.0
2018-09-05,377.25,384.75,390.75,391.25,1,5.0,251.25,254.25,257.25,261.0,863.5,875.0,885.0,889.5,542.5,556.5,553.25,564.75
2018-09-06,378.25,385.75,392.0,391.75,1,5.0,251.75,254.75,257.5,261.0,865.25,877.0,887.25,891.75,535.0,549.0,547.25,557.75
2018-09-07,379.25,387.0,392.75,392.25,1,5.0,252.0,255.0,257.5,261.0,870.25,882.0,891.75,896.25,531.5,544.75,542.75,553.25
2018-09-10,379.25,386.75,392.5,393.25,3,5.0,256.0,259.0,261.5,265.0,871.75,883.25,892.75,896.25,546.75,560.25,560.5,570.5
2018-09-11,378.5,386.5,392.0,392.0,1,5.0,250.75,254.0,256.75,260.5,858.25,870.0,879.25,882.75,537.75,551.5,552.5,563.25
